,date,open,close,high,low,volume,code
523,2009-04-29,16.965,17.681,17.839,16.965,337576.01,601318
524,2009-04-30,17.79,17.884,18.064,17.546,324591.3,601318
525,2009-05-04,17.92,18.443,18.483,17.839,282169.83,601318
526,2009-05-05,18.519,18.429,18.929,18.335,255942.16,601318
527,2009-05-06,18.38,18.339,18.411,17.92,300808.31,601318
528,2009-05-07,18.479,18.51,18.925,18.245,331509.4,601318
529,2009-05-08,18.402,18.533,18.767,18.208,289227.39,601318
530,2009-05-11,18.74,18.398,19.204,18.371,492632.57,601318
531,2009-05-12,18.335,18.591,18.605,18.154,208971.88,601318
532,2009-05-13,18.605,18.7,18.884,18.254,363230.62,601318
533,2009-05-14,18.402,18.186,18.542,18.145,295524.29,601318
534,2009-05-15,18.204,18.024,18.393,17.884,242786.72,601318
535,2009-05-18,17.907,18.132,18.154,17.844,177092.27,601318
536,2009-05-19,18.42,18.515,18.718,18.245,297740.81,601318
537,2009-05-20,18.555,18.281,18.695,18.245,172127.01,601318
538,2009-05-21,18.109,17.754,18.132,17.65,306373.97,601318
539,2009-05-22,17.695,17.767,17.862,17.51,261018.02,601318
540,2009-05-25,17.389,17.672,17.767,17.276,226425.29,601318
541,2009-05-26,17.722,17.335,17.754,17.299,196096.07,601318
542,2009-05-27,17.483,17.844,17.983,17.483,251496.34,601318
543,2009-06-01,18.335,19.628,19.628,18.299,1027763.41,601318
544,2009-06-02,19.772,19.632,20.069,19.596,594095.61,601318
545,2009-06-04,20.2,20.317,20.79,20.051,792797.0,601318
546,2009-06-05,20.497,20.317,20.542,20.123,257118.71,601318
547,2009-06-15,21.263,20.781,21.398,20.254,883189.64,601318
548,2009-06-16,20.339,19.754,20.488,19.686,575257.21,601318
549,2009-06-17,19.731,19.826,20.01,19.362,347764.62,601318
550,2009-06-18,19.844,20.064,20.407,19.731,357301.77,601318
551,2009-06-19,20.082,20.353,20.79,19.686,391400.44,601318
552,2009-06-22,20.722,21.047,21.506,20.524,478646.71,601318
553,2009-06-23,20.542,20.655,21.173,20.443,411702.32,601318
554,2009-06-24,20.772,20.614,20.947,20.272,307106.04,601318
555,2009-06-25,20.551,21.191,21.47,20.551,394932.4,601318
556,2009-06-26,21.195,21.137,21.411,20.947,220306.05,601318
557,2009-06-29,21.128,21.7,22.006,21.128,325047.54,601318
558,2009-06-30,21.718,22.281,22.984,21.718,420386.91,601318
559,2009-07-01,22.254,23.547,23.921,22.209,307836.34,601318
560,2009-07-02,23.659,24.768,24.822,23.659,512903.07,601318
561,2009-07-03,24.529,25.011,25.159,24.394,363958.6,601318
562,2009-07-06,24.957,25.227,25.939,24.916,365972.36,601318
563,2009-07-07,25.002,24.592,25.227,24.421,268437.64,601318
564,2009-07-08,24.146,24.236,24.619,23.425,330354.78,601318
565,2009-07-09,24.204,25.335,25.362,23.912,425651.7,601318
566,2009-07-10,25.349,25.141,25.497,24.731,264345.86,601318
567,2009-07-13,24.79,24.632,25.452,24.596,175185.27,601318
568,2009-07-14,24.871,26.835,27.029,24.871,441717.2,601318
569,2009-07-15,27.029,27.182,27.93,27.024,334707.92,601318
570,2009-07-16,27.506,27.069,27.817,26.97,205662.56,601318
571,2009-07-17,27.065,26.984,27.921,26.849,216227.73,601318
572,2009-07-20,27.367,27.389,27.772,26.696,193183.55,601318
573,2009-07-21,28.042,27.894,29.065,27.705,316943.69,601318
574,2009-07-22,27.88,27.957,28.38,27.29,327139.85,601318
575,2009-07-23,28.11,27.961,28.155,27.389,251648.59,601318
576,2009-07-24,28.155,27.925,28.516,27.511,217491.25,601318
577,2009-07-27,28.137,28.808,28.876,27.569,323703.24,601318
578,2009-07-28,28.741,28.137,28.808,27.795,243628.89,601318
579,2009-07-29,28.11,26.637,28.583,25.367,354682.96,601318
580,2009-07-30,27.029,26.867,27.907,26.128,382200.52,601318
581,2009-07-31,27.254,27.497,27.682,26.961,267901.31,601318
582,2009-08-03,27.637,28.286,28.335,27.155,310476.03,601318
583,2009-08-04,28.43,27.394,28.466,27.074,290880.62,601318
584,2009-08-05,27.299,26.313,27.299,26.263,403283.91,601318
585,2009-08-06,26.331,25.56,26.331,24.849,465482.98,601318
586,2009-08-10,25.317,25.056,25.488,24.547,368164.86,601318
587,2009-08-11,25.06,24.988,25.213,24.709,237598.66,601318
588,2009-08-12,25.038,23.979,25.137,23.853,399301.7,601318
589,2009-08-13,23.97,24.245,24.34,23.727,421402.7,601318
590,2009-08-14,24.101,23.704,24.461,23.38,310006.61,601318
591,2009-08-17,23.308,22.776,24.186,22.655,544930.62,601318
592,2009-08-18,22.659,22.565,23.011,21.623,532897.53,601318
593,2009-08-19,22.524,21.997,22.817,21.628,357717.85,601318
594,2009-08-20,22.074,23.344,23.65,21.763,508151.97,601318
595,2009-08-21,23.335,23.195,23.614,22.794,386700.61,601318
596,2009-08-24,23.484,23.272,23.605,22.749,316449.12,601318
597,2009-08-25,23.195,21.993,23.195,21.56,476451.6,601318
598,2009-08-26,21.938,22.357,22.614,21.623,325364.29,601318
599,2009-08-27,22.15,21.893,22.47,21.623,286533.18,601318
600,2009-08-28,21.961,20.889,22.141,20.731,535266.02,601318
601,2009-08-31,20.632,19.501,20.659,19.321,493670.41,601318
602,2009-09-01,19.543,20.307,20.818,19.443,479304.92,601318
603,2009-09-02,19.981,20.845,20.994,19.891,355585.68,601318
604,2009-09-03,20.84,22.138,22.327,20.569,549877.86,601318
605,2009-09-04,22.061,22.237,22.603,21.925,286980.22,601318
606,2009-09-07,22.603,22.689,23.367,22.468,448727.36,601318
607,2009-09-08,22.558,23.024,23.037,22.061,244237.45,601318
608,2009-09-09,23.146,23.033,23.521,22.739,234115.71,601318
609,2009-09-10,22.902,22.897,23.281,22.761,176604.61,601318
610,2009-09-11,22.92,23.801,23.996,22.92,300023.26,601318
611,2009-09-14,23.801,23.941,24.095,23.643,209271.76,601318
612,2009-09-15,23.959,23.711,24.05,23.426,230440.78,601318
613,2009-09-16,23.516,23.137,23.679,22.92,267293.28,601318
614,2009-09-17,23.327,24.063,24.213,23.327,280026.54,601318
615,2009-09-18,23.959,23.033,24.095,22.87,289957.43,601318
616,2009-09-21,22.829,23.376,23.575,22.522,272106.63,601318
617,2009-09-22,23.259,22.906,23.996,22.775,266441.33,601318
618,2009-09-23,23.137,22.513,23.304,22.413,255004.91,601318
619,2009-09-24,22.309,22.978,23.304,21.871,351408.91,601318
620,2009-09-25,22.608,23.295,23.643,22.603,281409.72,601318
621,2009-09-28,23.336,22.323,23.507,22.142,232883.74,601318
622,2009-09-29,22.287,22.68,22.825,22.165,189575.06,601318
623,2009-09-30,22.811,22.92,23.191,22.603,181838.45,601318
624,2009-10-09,23.652,24.1,24.14,23.444,305881.61,601318
625,2009-10-12,24.118,24.054,24.674,24.05,293742.42,601318
626,2009-10-13,24.05,24.592,24.638,23.928,233119.07,601318
627,2009-10-14,24.683,24.986,25.519,24.515,353340.96,601318
628,2009-10-15,25.496,25.411,25.808,25.203,228094.88,601318
629,2009-10-16,25.474,25.334,25.835,24.886,191038.01,601318
630,2009-10-19,25.266,26.143,26.175,25.18,259032.86,601318
631,2009-10-20,26.175,26.618,26.672,26.175,237314.64,601318
632,2009-10-21,26.618,26.22,26.898,26.184,221519.45,601318
633,2009-10-22,26.107,25.903,26.468,25.826,186950.9,601318
634,2009-10-23,25.998,26.446,26.744,25.998,203408.67,601318
635,2009-10-26,26.672,26.835,27.124,26.559,240652.17,601318
636,2009-10-27,26.536,26.658,27.178,26.188,247588.38,601318
637,2009-10-28,26.581,26.066,26.758,25.677,263132.0,601318
638,2009-10-29,25.451,25.117,25.804,24.886,296885.19,601318
639,2009-10-30,25.813,25.298,25.994,25.261,211732.88,601318
640,2009-11-02,24.728,26.993,27.282,24.674,358420.43,601318
641,2009-11-03,26.993,27.458,27.766,26.812,327985.46,601318
642,2009-11-04,27.35,27.35,27.666,26.92,184939.54,601318
643,2009-11-05,27.345,27.11,27.472,26.762,186030.96,601318
644,2009-11-06,27.481,27.128,27.626,27.11,156202.98,601318
645,2009-11-09,27.192,27.698,27.712,26.853,212367.01,601318
646,2009-11-10,27.802,27.585,28.466,27.531,228488.39,601318
647,2009-11-11,27.657,27.712,27.992,27.486,198954.29,601318
648,2009-11-12,27.933,27.499,28.164,27.255,169557.94,601318
649,2009-11-13,27.44,27.363,27.504,26.984,248351.14,601318
650,2009-11-16,27.571,28.037,28.114,27.522,247520.33,601318
651,2009-11-17,28.295,28.005,28.466,27.847,161135.76,601318
652,2009-11-18,28.155,27.739,28.155,27.666,185360.02,601318
653,2009-11-19,27.761,27.354,27.933,27.169,301822.62,601318
654,2009-11-20,27.341,26.943,27.341,26.627,580336.91,601318
655,2009-11-23,26.966,26.731,26.966,26.423,859730.05,601318
656,2009-11-24,26.925,26.613,27.305,26.392,718960.81,601318
657,2009-11-25,26.631,27.318,27.359,26.45,431937.27,601318
658,2009-11-26,27.3,26.165,27.576,26.03,592215.59,601318
659,2009-11-27,25.985,25.031,25.985,24.995,563362.46,601318
660,2009-11-30,25.307,25.686,25.745,24.995,379356.81,601318
661,2009-12-01,25.533,25.808,26.016,25.225,387719.17,601318
662,2009-12-02,25.994,26.098,26.306,25.971,310559.82,601318
663,2009-12-03,26.039,25.704,26.039,25.478,287062.63,601318
664,2009-12-04,25.582,27.088,27.391,25.32,840689.41,601318
665,2009-12-07,26.898,27.006,27.174,26.627,386709.73,601318
666,2009-12-08,27.083,26.324,27.183,26.165,333352.0,601318
667,2009-12-09,26.039,25.745,26.039,25.7,284225.55,601318
668,2009-12-10,26.016,25.804,26.075,25.51,230761.68,601318
669,2009-12-11,25.813,25.781,26.301,25.722,196740.32,601318
670,2009-12-14,25.677,25.908,26.175,25.09,306475.17,601318
671,2009-12-15,25.763,25.424,25.808,25.316,238037.79,601318
672,2009-12-16,25.406,25.352,25.722,25.311,175852.31,601318
673,2009-12-17,25.365,24.66,25.519,24.592,306015.15,601318
674,2009-12-21,23.779,23.724,24.072,23.417,542788.18,601318
675,2009-12-22,23.815,23.015,23.914,22.92,359828.98,601318
676,2009-12-23,23.069,23.028,23.281,22.725,347888.13,601318
677,2009-12-24,22.965,23.634,23.684,22.829,460332.28,601318
678,2009-12-25,23.507,23.462,23.77,23.408,258402.17,601318
679,2009-12-28,23.426,23.679,23.982,23.426,426394.75,601318
680,2009-12-29,23.774,23.661,23.846,23.412,291442.75,601318
681,2009-12-30,23.724,24.669,24.882,23.711,718059.88,601318
682,2009-12-31,24.723,24.904,25.13,24.592,404738.09,601318
683,2010-01-04,25.085,24.362,25.13,24.335,293640.12,601318
684,2010-01-05,24.425,24.669,24.954,23.874,360157.62,601318
685,2010-01-06,24.592,24.145,24.818,24.095,332046.02,601318
686,2010-01-07,24.14,23.697,24.326,23.449,365418.19,601318
687,2010-01-08,23.697,23.557,23.697,23.191,323021.82,601318
688,2010-01-11,24.638,23.675,24.818,23.485,501400.45,601318
689,2010-01-12,23.507,23.896,23.959,23.105,378249.95,601318
690,2010-01-13,23.372,22.748,23.507,22.725,584784.57,601318
691,2010-01-14,22.965,23.046,23.281,22.558,369263.84,601318
692,2010-01-15,23.055,23.091,23.214,22.648,258192.86,601318
693,2010-01-18,22.951,22.752,22.951,22.576,417561.26,601318
694,2010-01-19,22.725,22.865,23.191,22.721,340863.44,601318
695,2010-01-20,22.92,22.133,22.978,22.097,395865.83,601318
696,2010-01-21,22.196,22.572,22.784,22.11,307936.57,601318
697,2010-01-22,22.151,22.59,22.897,21.925,437983.22,601318
698,2010-01-25,22.332,22.49,22.911,22.251,225152.2,601318
699,2010-01-26,22.504,21.988,22.599,21.925,229192.41,601318
700,2010-01-27,22.065,21.523,22.147,21.473,241378.78,601318
701,2010-01-28,21.55,21.152,21.577,20.994,310264.83,601318
702,2010-01-29,21.111,21.007,21.469,20.795,308661.75,601318
703,2010-02-01,21.229,21.631,21.69,21.053,533189.36,601318
704,2010-02-02,21.699,21.45,22.346,21.405,379894.79,601318
705,2010-02-03,21.586,22.526,22.535,21.428,548633.58,601318
706,2010-02-04,22.242,22.287,22.517,22.088,266131.81,601318
707,2010-02-05,21.817,21.731,21.993,21.699,238614.29,601318
708,2010-02-08,21.713,21.74,22.011,21.523,175710.05,601318
709,2010-02-09,21.808,22.029,22.196,21.699,185027.01,601318
710,2010-02-10,22.242,22.612,22.648,22.242,316774.55,601318
711,2010-02-11,22.594,22.558,22.807,22.477,170187.56,601318
712,2010-02-12,22.694,22.639,22.78,22.544,156503.7,601318
713,2010-02-22,22.599,22.187,22.599,22.174,191121.9,601318
714,2010-02-23,21.649,20.216,21.649,19.968,1633908.1,601318
715,2010-02-24,19.981,20.167,20.243,19.891,672238.86,601318
716,2010-02-25,20.275,20.442,20.601,20.221,614586.59,601318
717,2010-02-26,20.366,20.352,20.596,20.266,487191.6,601318
718,2010-03-01,20.786,21.111,21.193,20.483,567013.76,601318
719,2010-03-02,21.111,21.057,21.238,20.935,335992.79,601318
720,2010-03-03,21.08,20.985,21.157,20.768,260003.87,601318
721,2010-03-04,21.003,20.37,21.098,20.347,316422.61,601318
722,2010-03-05,20.479,20.564,20.659,20.388,249153.48,601318
723,2010-03-08,20.614,20.867,20.949,20.533,226995.56,601318
724,2010-03-09,20.881,21.27,21.563,20.659,419128.42,601318
725,2010-03-10,21.274,21.356,21.586,21.179,307931.02,601318
726,2010-03-11,21.36,21.247,21.568,21.035,218580.44,601318
727,2010-03-12,21.238,21.089,21.414,21.071,206614.8,601318
728,2010-03-15,21.066,20.619,21.08,20.46,264180.67,601318
729,2010-03-16,20.614,20.641,20.786,20.352,185284.21,601318
730,2010-03-17,20.732,21.844,21.921,20.709,542471.72,601318
731,2010-03-18,21.699,21.699,22.006,21.654,342503.71,601318
732,2010-03-19,21.722,21.907,21.925,21.518,246530.96,601318
733,2010-03-22,21.889,21.875,22.061,21.749,229700.86,601318
734,2010-03-23,21.943,21.55,21.993,21.473,186492.27,601318
735,2010-03-24,21.658,21.64,21.925,21.55,174730.94,601318
736,2010-03-25,21.636,21.337,21.636,21.247,157148.78,601318
737,2010-03-26,21.306,21.808,22.056,21.292,285246.67,601318
738,2010-03-29,22.016,22.712,22.911,21.975,534401.36,601318
739,2010-03-30,22.716,22.983,23.055,22.653,340008.13,601318
740,2010-03-31,22.897,22.784,23.01,22.68,203797.91,601318
741,2010-04-01,22.784,23.177,23.327,22.784,239154.25,601318
742,2010-04-02,23.236,23.286,23.444,23.055,176385.06,601318
743,2010-04-06,23.507,23.024,23.566,22.879,202924.31,601318
744,2010-04-07,22.906,22.978,23.223,22.743,163406.51,601318
745,2010-04-08,22.951,22.459,22.951,22.373,245340.44,601318
746,2010-04-09,22.581,22.92,22.974,22.472,215742.61,601318
747,2010-04-12,22.92,22.567,23.037,22.201,308654.49,601318
748,2010-04-13,22.617,23.458,23.598,22.617,603602.78,601318
749,2010-04-14,23.512,23.607,23.661,23.281,296440.63,601318
750,2010-04-15,23.507,23.747,23.905,23.308,304848.8,601318
751,2010-04-16,23.598,23.096,23.666,23.055,242501.28,601318
752,2010-04-19,22.829,22.246,23.327,22.223,500767.05,601318
753,2010-04-20,22.513,22.883,23.028,22.196,423726.03,601318
754,2010-04-21,22.92,23.516,23.67,22.829,454960.56,601318
755,2010-04-22,23.372,23.403,23.892,23.191,432916.08,601318
756,2010-04-23,23.53,23.403,23.937,23.1,355425.19,601318
757,2010-04-26,23.399,22.915,23.548,22.911,226695.44,601318
758,2010-04-27,22.78,22.44,22.78,21.93,385288.33,601318
759,2010-04-28,22.106,22.147,22.481,22.016,194854.14,601318
760,2010-04-29,22.377,21.907,22.544,21.88,183823.5,601318
761,2010-04-30,21.93,22.332,22.4,21.563,302174.41,601318
762,2010-05-04,21.97,22.287,22.648,21.893,217696.37,601318
763,2010-05-05,22.178,22.047,22.459,21.428,334527.71,601318
764,2010-05-06,21.966,20.903,21.966,20.799,383597.64,601318
765,2010-05-07,20.302,20.944,21.654,20.302,377703.23,601318
766,2010-05-10,21.292,21.794,21.975,21.044,363700.84,601318
767,2010-05-11,22.309,21.166,22.323,21.021,354351.05,601318
768,2010-05-12,21.016,21.975,22.174,20.908,634879.18,601318
769,2010-05-13,22.147,22.323,22.45,21.79,526301.53,601318
770,2010-05-14,21.88,21.835,22.12,21.744,354074.58,601318
771,2010-05-17,21.509,20.578,21.509,20.519,384397.08,601318
772,2010-05-18,20.741,21.107,21.405,20.438,327975.78,601318
773,2010-05-19,20.831,20.935,21.279,20.537,236879.39,601318
774,2010-05-20,20.795,20.311,21.111,20.252,307979.03,601318
775,2010-05-21,19.882,20.424,20.582,19.696,261199.78,601318
776,2010-05-24,20.822,21.197,21.405,20.686,299525.79,601318
777,2010-05-25,20.998,20.456,21.048,20.433,263593.09,601318
778,2010-05-26,20.705,20.533,20.908,20.252,180371.41,601318
779,2010-05-27,20.506,20.84,20.931,20.162,245303.79,601318
780,2010-05-28,21.089,20.777,21.148,20.614,194391.45,601318
781,2010-05-31,20.673,20.506,20.894,20.438,196678.19,601318
782,2010-06-01,20.433,20.759,20.976,20.252,304059.46,601318
783,2010-06-02,20.705,20.569,20.705,20.252,206833.48,601318
784,2010-06-03,20.705,20.628,20.931,20.46,193616.35,601318
785,2010-06-04,20.488,20.592,20.655,20.388,109497.41,601318
786,2010-06-07,20.343,20.135,20.488,19.918,198753.13,601318
787,2010-06-08,20.139,20.017,20.28,19.76,166342.51,601318
788,2010-06-09,20.117,20.646,20.818,19.71,397462.23,601318
789,2010-06-10,20.334,20.243,20.479,20.207,167986.6,601318
790,2010-06-11,20.474,20.483,20.786,20.343,181728.3,601318
791,2010-06-17,20.646,20.361,20.745,20.28,169457.56,601318
792,2010-06-18,20.366,20.311,20.673,20.252,229986.13,601318
793,2010-06-21,20.501,21.256,21.473,20.483,629141.97,601318
794,2010-06-22,21.261,21.297,21.383,21.179,207679.84,601318
795,2010-06-23,21.188,21.139,21.414,20.863,211820.52,601318
796,2010-06-24,21.089,21.333,21.586,21.089,193651.72,601318
797,2010-06-25,21.202,21.478,21.663,21.044,180985.99,601318
798,2010-06-28,21.469,21.161,21.681,21.116,203536.06,601318
799,2010-09-02,21.841,22.119,22.464,21.568,923829.0,601318
800,2010-09-03,22.205,22.237,22.342,21.864,395027.0,601318
801,2010-09-06,22.528,23.233,23.343,22.478,447383.0,601318
802,2010-09-07,23.252,23.111,23.261,22.742,285789.0,601318
803,2010-09-08,23.001,22.71,23.001,22.551,267240.0,601318
804,2010-09-09,22.817,22.133,22.831,22.014,229864.0,601318
805,2010-09-10,22.206,22.393,22.525,22.128,173260.0,601318
806,2010-09-13,22.416,22.648,23.05,22.411,221649.0,601318
807,2010-09-14,22.744,22.877,23.164,22.744,228821.0,601318
808,2010-09-15,22.867,22.502,23.233,22.498,239358.0,601318
809,2010-09-16,22.502,22.333,22.731,22.096,180357.0,601318
810,2010-09-17,22.457,22.256,22.498,22.11,133499.0,601318
811,2010-09-20,22.365,22.813,23.187,22.114,282732.0,601318
812,2010-09-21,23.036,22.931,23.173,22.785,167102.0,601318
813,2010-09-27,22.922,23.511,23.543,22.867,285604.0,601318
814,2010-09-28,23.433,23.283,23.621,23.141,176372.0,601318
815,2010-09-29,23.255,23.315,23.616,23.187,156960.0,601318
816,2010-09-30,23.187,24.141,24.419,23.109,381395.0,601318
817,2010-10-08,23.963,25.177,25.337,23.963,456474.0,601318
818,2010-10-11,25.424,26.565,27.144,25.424,700043.0,601318
819,2010-10-12,26.419,26.706,26.838,26.273,349516.0,601318
820,2010-10-13,26.679,27.067,27.181,26.565,387057.0,601318
821,2010-10-14,28.299,27.751,28.801,27.706,702542.0,601318
822,2010-10-15,27.614,28.619,28.756,27.532,603689.0,601318
823,2010-10-18,28.619,27.61,29.303,27.386,597217.0,601318
824,2010-10-19,27.546,28.587,28.701,27.528,341665.0,601318
825,2010-10-20,28.587,30.572,30.673,28.573,935111.0,601318
826,2010-10-21,30.577,29.974,30.577,29.7,404072.0,601318
827,2010-10-22,29.805,29.664,30.353,29.399,309749.0,601318
828,2010-10-25,29.655,30.504,30.673,28.984,389993.0,601318
829,2010-10-26,30.399,29.221,30.399,28.984,549491.0,601318
830,2010-10-27,28.756,27.97,29.112,27.838,600165.0,601318
831,2010-10-28,27.523,27.756,28.016,27.386,441111.0,601318
832,2010-10-29,27.756,27.35,27.843,27.172,361930.0,601318
833,2010-11-02,28.326,27.61,28.349,27.505,530352.0,601318
834,2010-11-03,27.523,27.587,28.117,26.861,417023.0,601318
835,2010-11-04,27.651,28.048,28.427,27.592,325291.0,601318
836,2010-11-05,28.527,28.523,28.801,28.263,317454.0,601318
837,2010-11-08,28.527,28.135,28.55,27.875,315756.0,601318
838,2010-11-09,28.144,27.459,28.144,27.386,336815.0,601318
839,2010-11-10,27.363,27.843,27.865,26.971,340583.0,601318
840,2010-11-11,28.016,28.523,29.102,27.678,546121.0,601318
841,2010-11-12,28.441,27.724,29.303,27.446,604492.0,601318
842,2010-11-15,27.432,27.126,27.697,26.473,425999.0,601318
843,2010-11-16,27.021,25.857,27.021,25.469,412861.0,601318
844,2010-11-17,25.364,25.976,26.587,25.25,498823.0,601318
845,2010-11-18,26.409,26.314,26.496,25.707,308265.0,601318
846,2010-11-19,26.542,26.341,26.578,25.341,366334.0,601318
847,2010-11-22,26.25,26.642,27.158,26.199,353701.0,601318
